,namespace,grade,Tempo de correção por aluno por questão
98,colegiofuturageracao,ef 7o ano,0 days 00:58:39.660991875
99,colegiofuturageracao,ef 8o ano,0 days 01:41:11.331395800
100,colegiofuturageracao,ef 9o ano,0 days 01:20:03.852519666
101,colegioglobal,ef 3o ano,-1 days +23:36:12.371414
102,colegioglobal,ef 5o ano,0 days 20:21:50.224940
103,colegioglobal,ef 6o ano,0 days 02:09:18.996747333
104,colegioglobal,ef 7o ano,0 days 01:29:35.978065
105,colegioglobal,ef 8o ano,0 days 01:30:34.679000250
106,colegioglobal,ef 9o ano,0 days 03:41:09.492482428
107,colegioglobal,em 2a serie,0 days 01:40:19.362401333
108,colegioiguatemy,ef 9o ano,0 days 00:00:30.665487
109,colegiointegral,ef 7o ano,0 days 07:06:22.256312
110,colegiointegral,ef 8o ano,0 days 03:11:57.752716500
111,colegiointegral,ef 9o ano,0 days 19:55:39.344166
112,colegiointegral,em 3a serie,0 days 06:50:42.815550666
113,colegiointegral,outro,0 days 04:45:03.774163200
114,colegiojoaopaulo,ef 4o ano,0 days 00:12:04.177294
115,colegiojoaopaulo,ef 7o ano,0 days 09:04:25.708720333
116,colegiojoaopaulo,em 1a serie,0 days 15:27:09.647151500
117,colegiojoaopaulo,em 2a serie,1 days 13:31:15.548171
118,colegioplanck,ef 6o ano,0 days 04:02:18.058000
119,colegioplanck,ef 7o ano,0 days 12:16:22.286287500
120,colegioplanck,ef 8o ano,0 days 12:02:54.426862
121,colegioplanck,ef 9o ano,0 days 10:34:40.350207750
122,colegioplanck,em 1a serie,0 days 11:22:06.625019750
123,colegioplanck,em 2a serie,0 days 05:36:17.745406500
124,colegiopremium,ef 8o ano,4 days 00:37:25.615541500
125,colegiopremium,ef 9o ano,2 days 20:31:44.769063800
126,colegiopremium,em 1a serie,0 days 10:32:51.698721
127,colegiopremium,em 2a serie,0 days 11:43:32.524488333
128,colegiouniverso,ef 6o ano,0 days 02:47:54.786790200
129,colegiouniverso,ef 8o ano,0 days 01:15:47.599661250
130,colegioup,ef 6o ano,0 days 02:33:00.132847400
131,colegioup,ef 7o ano,0 days 03:11:34.288347222
132,colegioup,ef 8o ano,0 days 04:00:57.344092900
133,colegioup,ef 9o ano,0 days 02:56:00.451388500
134,colegioup,em 1a serie,0 days 00:14:44.151018200
135,colegioup,em 2a serie,0 days 01:09:37.094054190
136,colegioup,em 3a serie,0 days 00:10:28.474230200
137,crb,ef 7o ano,0 days 04:12:51.184910142
138,crb,ef 8o ano,0 days 02:19:17.332096555
139,crb,ef 9o ano,2 days 15:45:13.821137833
140,crb,em 1a serie,0 days 15:36:41.055697916
141,crb,em 2a serie,0 days 03:55:08.030477333
142,crb,em 3a serie,0 days 03:59:02.402672285
143,crescercampinas,ef 6o ano,0 days 14:28:36.116331777
144,crescercampinas,ef 7o ano,0 days 10:37:27.410804500
145,crescercampinas,ef 9o ano,0 days 14:44:38.317495250
146,eccos,ef 3o ano,0 days 14:34:28.907902
147,eccos,ef 5o ano,0 days 04:42:34.788754500
148,eccos,ef 6o ano,0 days 09:07:01.357729666
149,eccos,ef 7o ano,0 days 03:07:49.518573857
150,eccos,ef 8o ano,0 days 17:51:17.371629333
151,eccos,ef 9o ano,9 days 09:33:16.151856285
152,educandarioterciocorreia,ef 3o ano,0 days 06:40:38.827431
153,educandarioterciocorreia,ef 5o ano,-1 days +23:39:51.853946500
154,educandarioterciocorreia,ef 6o ano,0 days 06:54:26.125749900
155,educandarioterciocorreia,ef 7o ano,0 days 06:38:55.887853111
156,educandarioterciocorreia,ef 8o ano,0 days 04:53:44.711542600
157,educandarioterciocorreia,ef 9o ano,0 days 06:49:03.110387888
158,einsteinassis,ef 6o ano,0 days 00:43:04.296518
159,einsteinassis,ef 8o ano,0 days 01:16:41.749615200
160,einsteinassis,em 1a serie,0 days 02:40:51.189185750
161,elitecuritibaemilianoperneta,em 1a serie,0 days 00:38:25.539899285
162,integra,ef 1o ano,0 days 01:24:10.626476
163,integra,ef 4o ano,0 days 12:09:20.811920
164,integra,ef 5o ano,1 days 06:46:17.636268
165,integradaeducativa,ef 6o ano,0 days 07:24:03.293975900
166,integradaeducativa,ef 7o ano,0 days 03:31:53.646023391
167,integradaeducativa,ef 8o ano,0 days 03:37:10.527229470
168,integradaeducativa,ef 9o ano,0 days 03:21:57.464789
169,integradaeducativa,em 1a serie,0 days 00:49:47.707963500
170,integradaeducativa,em 2a serie,0 days 09:22:17.476559600
171,integradaeducativa,em 3a serie,0 days 03:01:19.050306666
172,invictus,em 1a serie,0 days 12:08:28.663963500
173,invictus,em 2a serie,0 days 12:28:34.611410
174,isem,ef 7o ano,9 days 00:24:16.627173500
175,magister,ef 3o ano,0 days 00:15:10.354159666
176,magister,ef 4o ano,0 days 02:17:56.859981
177,magister,ef 5o ano,0 days 00:21:36.781124
178,maplebearslz,ef 4o ano,0 days 00:07:14.520914750
179,maplebearslz,ef 5o ano,0 days 02:58:52.116152500
180,nucleocriativo,outro,0 days 04:26:37.969663
181,pioxi,ef 6o ano,0 days 00:20:37.867340250
182,pioxi,ef 7o ano,0 days 00:44:20.042958571
183,pioxi,ef 8o ano,0 days 01:28:12.604007625
184,pioxi,em 3a serie,0 days 04:06:24.962096
185,pioxiicolegio,em 1a serie,0 days 00:07:45.010196
186,pioxiicolegio,em 2a serie,0 days 01:58:13.392699500
187,pioxiicolegio,em 3a serie,0 days 01:32:03.549557
188,portinari,ef 4o ano,0 days 00:41:10.969968833
189,portinari,ef 5o ano,0 days 02:09:27.241859833
190,portinari,ef 7o ano,0 days 00:06:33.462933500
191,portinari,ef 8o ano,-1 days +23:58:15.317621
192,portinari,ef 9o ano,-1 days +23:57:30.591283
193,porto,ef 7o ano,-1 days +22:56:22.150674
194,porto,em 2a serie,0 days 01:13:08.087399
195,prismapatrocinio,ef 7o ano,0 days 00:19:51.540426
196,prismapatrocinio,outro,0 days 04:30:28.730880500
197,progressaodc,em 3a serie,0 days 11:14:43.143501500
198,progressaoig,ef 6o ano,0 days 05:18:36.695122333
199,progressaoig,ef 7o ano,0 days 01:33:08.404853333
200,provaspoliedro,ef 6o ano,0 days 02:10:46.774117857
201,provaspoliedro,ef 7o ano,0 days 05:50:06.045617363
202,provaspoliedro,ef 8o ano,0 days 11:16:31.398596409
203,provaspoliedro,ef 9o ano,0 days 10:33:17.095731272
204,provaspoliedro,em 2a serie,2 days 03:32:27.285133500
205,provaspoliedro,outro,1 days 06:14:20.841169210
206,psantagema,ef 6o ano,2 days 00:48:04.430873
207,psantagema,ef 7o ano,0 days 01:18:57.205259
208,psantagema,ef 8o ano,0 days 19:14:10.456406363
209,psantagema,ef 9o ano,0 days 09:45:55.546775500
210,psantagema,em 1a serie,3 days 20:54:32.609911666
211,psantagema,em 2a serie,1 days 01:31:00.195898500
212,psantagema,em 3a serie,1 days 02:18:28.974411384
213,psantagema,outro,0 days 09:57:56.983690500
214,santoamerico,ef 6o ano,0 days 01:42:55.796791600
215,santoamerico,ef 7o ano,0 days 01:48:33.588293
216,santoamerico,ef 9o ano,1 days 01:42:38.917547
217,santoamerico,outro,-1 days +23:49:58.041453
218,spdacruz,ef 6o ano,0 days 19:34:04.071852045
219,spdacruz,ef 7o ano,0 days 22:01:37.826236428
220,spdacruz,ef 8o ano,0 days 02:56:16.180235086
221,spdacruz,ef 9o ano,1 days 12:38:32.075139875
222,spdacruz,em 1a serie,0 days 03:16:19.022501900
223,spdacruz,em 2a serie,0 days 02:20:37.090607421
224,spdacruz,em 3a serie,0 days 03:53:55.843362
225,stellamarisaguaverde,ef 7o ano,0 days 03:06:49.033640
226,stellamarisjuveve,ef 4o ano,0 days 00:49:42.183403
227,stellamarisjuveve,ef 6o ano,0 days 00:19:40.922014333
228,stellamarisjuveve,ef 8o ano,0 days 00:45:14.924660500
229,stellamarisjuveve,ef 9o ano,0 days 00:41:14.016301
230,stellamarisjuveve,em 1a serie,0 days 01:13:46.402114400
231,universobarcarena,ef 9o ano,0 days 00:02:32.362543
232,villalobos,ef 4o ano,0 days 01:49:18.306238500
233,villalobos,ef 5o ano,0 days 03:16:56.372740250
234,villalobos,ef 7o ano,0 days 01:19:47.732291
235,villalobos,ef 9o ano,0 days 05:23:48.045652500
236,villalobos,em 1a serie,0 days 05:43:51.689243833
237,villalobos,em 3a serie,0 days 01:19:48.442047500
