,username,namespace,report_id,grade
0,sas.aluno,jardimsaopaulo,3635,
1,sas.aluno,jardimsaopaulo,3635,
2,sas.aluno,jardimsaopaulo,3635,
3,sas.aluno,jardimsaopaulo,3635,
4,sas.aluno,jardimsaopaulo,3635,
5,sas.aluno,jardimsaopaulo,3635,
6,sas.aluno,jardimsaopaulo,3635,
7,sas.aluno,jardimsaopaulo,3635,
8,sas.aluno,jardimsaopaulo,3635,
9,sas.aluno,jardimsaopaulo,3635,
10,sas.aluno,jardimsaopaulo,3635,
11,sas.aluno,jardimsaopaulo,3635,
12,sas.aluno,jardimsaopaulo,3635,infantil iv
13,sas.aluno,jardimsaopaulo,3635,
14,sas.aluno,jardimsaopaulo,3635,
15,sas.aluno,jardimsaopaulo,3635,
16,sas.aluno,jardimsaopaulo,3635,
17,sas.aluno,jardimsaopaulo,3635,
18,sas.aluno,jardimsaopaulo,3635,
19,sas.aluno,jardimsaopaulo,3635,
20,sas.aluno,jardimsaopaulo,3635,
21,sas.aluno,jardimsaopaulo,3635,
22,sas.aluno,jardimsaopaulo,3635,
23,sas.aluno,jardimsaopaulo,3635,
24,sas.aluno,jardimsaopaulo,3635,
25,sas.aluno,jardimsaopaulo,3635,
26,sas.aluno,jardimsaopaulo,3635,
27,sas.aluno,jardimsaopaulo,3635,
28,sas.aluno,jardimsaopaulo,3635,ef 7o ano
29,sas.aluno,jardimsaopaulo,3635,
30,sas.aluno,jardimsaopaulo,3635,
31,sas.aluno,jardimsaopaulo,3635,
32,sas.aluno,jardimsaopaulo,3635,
33,sas.aluno,jardimsaopaulo,3635,
34,sas.aluno,jardimsaopaulo,3635,em 1a serie
35,sas.aluno,jardimsaopaulo,3635,
36,sas.aluno,jardimsaopaulo,3635,
37,sas.aluno,jardimsaopaulo,3635,
38,sas.aluno,jardimsaopaulo,3635,
39,sas.aluno,jardimsaopaulo,3635,em 1a serie
40,sas.aluno,jardimsaopaulo,3635,
41,sas.aluno,jardimsaopaulo,3635,
42,sas.aluno,jardimsaopaulo,3635,
43,sas.aluno,jardimsaopaulo,3635,
44,sas.aluno,jardimsaopaulo,3635,
45,sas.aluno,jardimsaopaulo,3635,
46,sas.aluno,jardimsaopaulo,3635,
47,sas.aluno,jardimsaopaulo,3635,
48,sas.aluno,jardimsaopaulo,3635,
49,sas.aluno,jardimsaopaulo,3635,
50,sas.aluno,jardimsaopaulo,3635,em 1a serie
51,sas.aluno,jardimsaopaulo,3635,
52,sas.aluno,jardimsaopaulo,3635,
53,sas.aluno,jardimsaopaulo,3635,
54,sas.aluno,jardimsaopaulo,3635,em 1a serie
55,sas.aluno,jardimsaopaulo,3635,
56,sas.aluno,jardimsaopaulo,3635,
57,sas.aluno,jardimsaopaulo,3635,
58,sas.aluno,jardimsaopaulo,3635,
59,sas.aluno,jardimsaopaulo,3635,
60,sas.aluno,jardimsaopaulo,3635,
61,sas.aluno,jardimsaopaulo,3635,
62,sas.aluno,jardimsaopaulo,3635,
63,sas.aluno,jardimsaopaulo,3635,
64,sas.aluno,jardimsaopaulo,3635,
65,sas.aluno,jardimsaopaulo,3635,
66,sas.aluno,jardimsaopaulo,3635,
67,sas.aluno,jardimsaopaulo,3635,
68,sas.aluno,jardimsaopaulo,3635,
69,sas.aluno,jardimsaopaulo,3635,
70,sas.aluno,jardimsaopaulo,3635,
71,sas.aluno,jardimsaopaulo,3635,
72,sas.aluno,jardimsaopaulo,3635,
73,sas.aluno,jardimsaopaulo,3635,
74,sas.aluno,jardimsaopaulo,3635,
75,sas.aluno,jardimsaopaulo,3635,infantil iv
76,sas.aluno,jardimsaopaulo,3635,
77,sas.aluno,jardimsaopaulo,3635,
78,sas.aluno,jardimsaopaulo,3635,
79,sas.aluno,jardimsaopaulo,3635,
80,sas.aluno,jardimsaopaulo,3635,
81,sas.aluno,jardimsaopaulo,3635,
82,sas.aluno,jardimsaopaulo,3635,
83,sas.aluno,jardimsaopaulo,3635,
84,sas.aluno,jardimsaopaulo,3635,
85,sas.aluno,jardimsaopaulo,3635,
86,sas.aluno,jardimsaopaulo,3635,
87,sas.aluno,jardimsaopaulo,3635,
88,sas.aluno,jardimsaopaulo,3635,
89,sas.aluno,jardimsaopaulo,3635,
90,sas.aluno,jardimsaopaulo,3635,
91,sas.aluno,jardimsaopaulo,3635,ef 7o ano
92,sas.aluno,jardimsaopaulo,3635,
93,sas.aluno,jardimsaopaulo,3635,
94,sas.aluno,jardimsaopaulo,3635,
95,sas.aluno,jardimsaopaulo,3635,
96,sas.aluno,jardimsaopaulo,3635,
97,sas.aluno,jardimsaopaulo,3635,em 1a serie
98,sas.aluno,jardimsaopaulo,3635,
99,sas.aluno,jardimsaopaulo,3635,
100,sas.aluno,jardimsaopaulo,3635,
101,sas.aluno,jardimsaopaulo,3635,
102,sas.aluno,jardimsaopaulo,3635,em 1a serie
103,sas.aluno,jardimsaopaulo,3635,
104,sas.aluno,jardimsaopaulo,3635,
105,sas.aluno,jardimsaopaulo,3635,
